variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,ACBD3,7.927760176205963e-06,0.00021295504345532205,100
standardized,NR-AR,HA1E,CSK,0.00018315693030519355,0.0010949147337206296,100
standardized,NR-AR,HA1E,CSNK1E,1.47714791544707e-05,0.0002533016065947328,100
standardized,NR-AR,HA1E,TOR1A,-0.00019128151561386908,0.0011449139149188718,100
standardized,NR-AR,HA1E,TRAM2,-0.00016475632457182594,0.000986020467182922,100
standardized,NR-AR,HA1E,TCEAL4,9.163229968523192e-05,0.0004741627981259733,100
standardized,NR-AR,HA1E,GNPDA1,4.448143404960361e-05,0.00031187757353291057,100
standardized,NR-AR,HA1E,RGS2,0.00015976425867895465,0.0008419850816373584,100
standardized,NR-AR,HA1E,ABCF3,6.489917248700718e-05,0.0003690835681116199,100
standardized,NR-AR,HA1E,TCERG1,-0.00013729403170899547,0.0008407139515933654,100
standardized,NR-AR,HA1E,USP1,0.00014161696446416807,0.000786258969752062,100
standardized,NR-AR,HA1E,KEAP1,0.00020862115306905126,0.0011064002283682202,100
standardized,NR-AR,HA1E,KAT6A,9.637815867964498e-05,0.0006779775883401695,100
standardized,NR-AR,HA1E,MPC2,0.0001329353623737999,0.0006949452266408544,100
standardized,NR-AR,HA1E,MYC,1.8928992173699494e-05,0.00012191123072134999,100
standardized,NR-AR,HA1E,SLC35B1,-1.3403172419263525e-05,9.333125024455632e-05,100
standardized,NR-AR,HA1E,PLSCR1,3.614106689925157e-05,0.00023131026354517094,100
standardized,NR-AR,HA1E,DECR1,0.00014591203548306353,0.0008211116480765833,100
standardized,NR-AR,HA1E,ERBB3,1.768793084558075e-05,0.00019047688164186685,100
standardized,NR-AR,HA1E,PRSS23,-4.2542525954935536e-05,0.00038401811269980123,100
standardized,NR-AR,HA1E,PAPD7,-8.131724034602168e-05,0.0004977974620469662,100
standardized,NR-AR,HA1E,CTNNAL1,5.030625292795664e-05,0.00038901096996497885,100
standardized,NR-AR,HA1E,IKBKAP,0.00011726043637668332,0.0007830296345472201,100
standardized,NR-AR,HA1E,PPIE,2.843472088560495e-05,0.0001617110300671888,100
standardized,NR-AR,HA1E,DNAJB2,0.00014969695355198151,0.0012605004298270152,100
standardized,NR-AR,HA1E,SNAP25,7.281068727645297e-07,0.00025308376109339634,100
standardized,NR-AR,HA1E,BCL7B,9.914511507318538e-05,0.0006169698035220326,100
standardized,NR-AR,HA1E,GALE,0.00014333458614933825,0.0009161082754244877,100
standardized,NR-AR,HA1E,HMGCR,-0.00014774639320745177,0.0009010570092332799,100
standardized,NR-AR,HA1E,PRKCD,2.378679225021279e-05,0.0004762610652913142,100
standardized,NR-AR,HA1E,VAPB,-2.7282968416820018e-06,0.0005054007310329856,100
standardized,NR-AR,HA1E,MYLK,-6.295740315865207e-05,0.0004313462033126385,100
standardized,NR-AR,HA1E,S100A13,0.00013333346427894539,0.0006773131642444014,100
standardized,NR-AR,HA1E,NRIP1,-0.0004351554538757451,0.002368842136254642,100
standardized,NR-AR,HA1E,HTATSF1,2.3319060691911706e-05,0.00025205634305130385,100
standardized,NR-AR,HA1E,ADAM10,0.00013309169280791976,0.0008128179868084099,100
standardized,NR-AR,HA1E,EAPP,-6.478057586478094e-05,0.00038433437513321655,100
standardized,NR-AR,HA1E,SERPINE1,0.0007770060179370924,0.00422922886190122,100
standardized,NR-AR,HA1E,APPBP2,1.0386042889427238e-05,0.00039184102515450855,100
standardized,NR-AR,HA1E,TOPBP1,5.854406300601133e-05,0.00037100175233921136,100
standardized,NR-AR,HA1E,POLR2K,-0.0002027973567839109,0.0011234327920869552,100
standardized,NR-AR,HA1E,ICAM1,-0.00024728686047269385,0.0013479774030188618,100
standardized,NR-AR,HA1E,NRAS,4.449893878381038e-05,0.00028830451019794034,100
standardized,NR-AR,HA1E,LPGAT1,0.0002596023469333564,0.0013945894531975634,100
standardized,NR-AR,HA1E,PSMB10,0.0001411884344327555,0.0007988372979249803,100
standardized,NR-AR,HA1E,SDHB,-6.99563490974536e-05,0.0005045798013197692,100
standardized,NR-AR,HA1E,RASA1,-6.186607866847054e-05,0.0005985146540162478,100
standardized,NR-AR,HA1E,GTF2A2,-0.0002126464683407078,0.0012069973183569222,100
standardized,NR-AR,HA1E,NPC1,-8.674451038141254e-05,0.0005308629518988032,100
standardized,NR-AR,HA1E,GTF2E2,0.00012210442120119417,0.0007894377547234143,100
standardized,NR-AR,HA1E,RNMT,-1.696587885107085e-05,0.00030313469433635034,100
standardized,NR-AR,HA1E,RBM15B,7.387257618209515e-05,0.0005940935535686801,100
standardized,NR-AR,HA1E,OXSR1,0.00011122584127701776,0.0009488369723785723,100
standardized,NR-AR,HA1E,DUSP11,-6.060077677512089e-05,0.0003506913179789193,100
